period_dt,broad_group,total_value,total_qty,unit_price
2024-02-01,Graphite,80701125.0,45856140.0,1.759876103832551
2024-02-01,Polysilicon,27499396.0,1862167.3360000001,14.767414006449954
2024-02-01,Rare Earths,230016758.0,9780233.103,23.518535353665996
2024-03-01,Gallium/Germanium,255072649.0,23105176.373,11.03963219679509
2024-03-01,Graphite,120600677.0,62929070.0,1.9164541443247136
2024-03-01,Polysilicon,29775081.0,2165405.004,13.750351987271937
2024-03-01,Rare Earths,310481740.0,12189823.417,25.470569127933416
2024-04-01,Gallium/Germanium,278089204.0,23355159.419,11.906970918544344
2024-04-01,Graphite,105956081.0,58279562.0,1.8180658427048577
2024-04-01,Polysilicon,52107519.0,3258227.65,15.992596158835005
2024-04-01,Rare Earths,298818961.0,13927929.469,21.454657827288283
2024-05-01,Gallium/Germanium,251130079.0,22426262.003000002,11.198035542722451
2024-05-01,Graphite,100801330.0,52040873.0,1.9369646239408782
2024-05-01,Polysilicon,60054687.0,4417072.737,13.596037596788165
2024-05-01,Rare Earths,299178586.0,16102852.147,18.57922952212771
2024-06-01,Gallium/Germanium,244622741.0,21834357.699,11.203569364039664
2024-06-01,Graphite,87561308.0,57982326.0,1.5101378996075459
2024-06-01,Polysilicon,65254052.0,4711421.429,13.850183640619512
2024-06-01,Rare Earths,312071097.0,14975073.085,20.83937054788671
2024-07-01,Gallium/Germanium,180100700.0,17817138.576,10.1082841799636
2024-07-01,Graphite,63835050.0,52135278.0,1.2244118080659319
2024-07-01,Polysilicon,80764875.0,6496491.635,12.432075578282493
2024-07-01,Rare Earths,315427799.0,15075202.309,20.923619632732056
2024-08-01,Gallium/Germanium,206077055.0,19779200.979000002,10.418876638080395
2024-08-01,Graphite,76895492.0,52115989.0,1.475468344273386
2024-08-01,Polysilicon,60615524.0,4650540.594,13.03408125889805
2024-08-01,Rare Earths,302335737.0,14533729.502,20.802350625721726
2024-09-01,Gallium/Germanium,199061186.0,20001473.411,9.952326106661944
2024-09-01,Graphite,77151905.0,55937965.0,1.379240467542929
2024-09-01,Polysilicon,53001702.0,4929999.2530000005,10.750853961640548
2024-09-01,Rare Earths,272720723.0,12894655.54,21.149903706539803
2024-10-01,Gallium/Germanium,189926790.0,19258133.336,9.862159882596838
2024-10-01,Graphite,70231660.0,49996249.0,1.4047385834885333
2024-10-01,Polysilicon,36231699.0,3697608.13,9.798685454534633
2024-10-01,Rare Earths,274018273.0,13893009.517,19.72346399566639
2024-11-01,Gallium/Germanium,267759686.0,16520843.039,16.207386352373902
2024-11-01,Graphite,86720707.0,49811069.0,1.7409926897975228
2024-11-01,Polysilicon,41230298.0,4049088.085,10.182613253769214
2024-11-01,Rare Earths,271556675.0,13527843.132,20.073907743477225
2024-12-01,Gallium/Germanium,305987326.0,21217038.013,14.42177394471919
2024-12-01,Graphite,87671031.0,66344026.0,1.3214608199990758
2024-12-01,Polysilicon,59518183.0,5870009.754,10.139366967736729
2024-12-01,Rare Earths,295307229.0,12998905.908,22.717852647756853
