period_dt,broad_group,bloc,qty
2021-06-01,Gallium/Germanium,Adversary,17922529.0
2021-06-01,Gallium/Germanium,Intermediary,1941989.967
2021-06-01,Graphite,Adversary,38993242.0
2021-06-01,Graphite,Intermediary,15745403.0
2021-06-01,Polysilicon,Adversary,141929.31
2021-06-01,Rare Earths,Adversary,7913349.0
2021-06-01,Rare Earths,Intermediary,5285191.0
2021-07-01,Gallium/Germanium,Adversary,18534448.84
2021-07-01,Gallium/Germanium,Intermediary,1853938.4070000001
2021-07-01,Graphite,Adversary,33697667.0
2021-07-01,Graphite,Intermediary,10815242.0
2021-07-01,Polysilicon,Adversary,138613.848
2021-07-01,Polysilicon,Intermediary,55.0
2021-07-01,Rare Earths,Adversary,8224967.447
2021-07-01,Rare Earths,Intermediary,4501578.0
2021-08-01,Gallium/Germanium,Adversary,17997665.4
2021-08-01,Gallium/Germanium,Intermediary,1908362.0
2021-08-01,Graphite,Adversary,41627555.0
2021-08-01,Graphite,Intermediary,10765092.0
2021-08-01,Polysilicon,Adversary,152720.0
2021-08-01,Polysilicon,Intermediary,462.549
2021-08-01,Rare Earths,Adversary,8591494.203
2021-08-01,Rare Earths,Intermediary,4691967.322
2021-09-01,Gallium/Germanium,Adversary,19844163.632999998
2021-09-01,Gallium/Germanium,Intermediary,1518884.352
2021-09-01,Graphite,Adversary,36676242.0
2021-09-01,Graphite,Intermediary,12933971.0
2021-09-01,Polysilicon,Adversary,149831.508
2021-09-01,Polysilicon,Intermediary,1093.775
2021-09-01,Rare Earths,Adversary,8187750.246
2021-09-01,Rare Earths,Intermediary,5363998.979
2021-10-01,Gallium/Germanium,Adversary,17370853.433
2021-10-01,Gallium/Germanium,Intermediary,1425640.695
2021-10-01,Graphite,Adversary,32417887.0
2021-10-01,Graphite,Intermediary,10902198.0
2021-10-01,Polysilicon,Adversary,417963.547
2021-10-01,Polysilicon,Intermediary,40583.194
2021-10-01,Rare Earths,Adversary,7884739.478
2021-10-01,Rare Earths,Intermediary,4888816.0
2021-11-01,Gallium/Germanium,Adversary,16921134.899
2021-11-01,Gallium/Germanium,Intermediary,2597761.272
2021-11-01,Graphite,Adversary,42480568.0
2021-11-01,Graphite,Intermediary,14669548.0
2021-11-01,Polysilicon,Adversary,168964.348
2021-11-01,Polysilicon,Intermediary,24810.015
2021-11-01,Rare Earths,Adversary,9066059.0
2021-11-01,Rare Earths,Intermediary,5164490.441
2021-12-01,Gallium/Germanium,Adversary,17891863.877
2021-12-01,Gallium/Germanium,Intermediary,2106011.5470000003
2021-12-01,Graphite,Adversary,33529505.0
2021-12-01,Graphite,Intermediary,14570331.0
2021-12-01,Polysilicon,Adversary,133185.0
2021-12-01,Polysilicon,Intermediary,30351.0
2021-12-01,Rare Earths,Adversary,8974439.105
2021-12-01,Rare Earths,Intermediary,5712557.0
2022-01-01,Gallium/Germanium,Adversary,16468722.017
2022-01-01,Gallium/Germanium,Intermediary,1910674.71
2022-01-01,Graphite,Adversary,34885364.0
2022-01-01,Graphite,Intermediary,11676959.0
2022-01-01,Polysilicon,Adversary,126332.58
2022-01-01,Polysilicon,Intermediary,25387.443
2022-01-01,Rare Earths,Adversary,7837422.097
2022-01-01,Rare Earths,Intermediary,6516575.153
2022-02-01,Gallium/Germanium,Adversary,11947059.0
2022-02-01,Gallium/Germanium,Intermediary,1556158.184
2022-02-01,Graphite,Adversary,23077389.0
2022-02-01,Graphite,Intermediary,9608248.0
2022-02-01,Polysilicon,Adversary,157445.816
2022-02-01,Polysilicon,Intermediary,194.0
2022-02-01,Rare Earths,Adversary,7496253.39
2022-02-01,Rare Earths,Intermediary,3217323.21
2022-03-01,Gallium/Germanium,Adversary,16967929.414
2022-03-01,Gallium/Germanium,Intermediary,1419202.458
2022-03-01,Graphite,Adversary,17917072.0
2022-03-01,Graphite,Intermediary,12113059.0
2022-03-01,Polysilicon,Adversary,161373.339
2022-03-01,Polysilicon,Intermediary,669.107
2022-03-01,Rare Earths,Adversary,8948431.305
2022-03-01,Rare Earths,Intermediary,4222093.142
2022-04-01,Gallium/Germanium,Adversary,15726872.299
2022-04-01,Gallium/Germanium,Intermediary,1683998.581
2022-04-01,Graphite,Adversary,34646372.0
2022-04-01,Graphite,Intermediary,13939382.0
2022-04-01,Polysilicon,Adversary,126785.0
2022-04-01,Polysilicon,Intermediary,328.7
2022-04-01,Rare Earths,Adversary,7893974.6899999995
2022-04-01,Rare Earths,Intermediary,5082391.0
2022-05-01,Gallium/Germanium,Adversary,15988434.219999999
2022-05-01,Gallium/Germanium,Intermediary,1686588.0
2022-05-01,Graphite,Adversary,34723509.0
2022-05-01,Graphite,Intermediary,14425342.0
2022-05-01,Polysilicon,Adversary,138488.452
2022-05-01,Polysilicon,Intermediary,58959.906
2022-05-01,Rare Earths,Adversary,9157038.986
2022-05-01,Rare Earths,Intermediary,5122830.373
2022-06-01,Gallium/Germanium,Adversary,17948354.122
2022-06-01,Gallium/Germanium,Intermediary,1877780.787
2022-06-01,Graphite,Adversary,35121073.0
2022-06-01,Graphite,Intermediary,17504025.0
2022-06-01,Polysilicon,Adversary,122209.339
2022-06-01,Polysilicon,Intermediary,372.0
2022-06-01,Rare Earths,Adversary,8633372.735
2022-06-01,Rare Earths,Intermediary,5023681.623
2022-07-01,Gallium/Germanium,Adversary,16328371.353
2022-07-01,Gallium/Germanium,Intermediary,2154865.15
2022-07-01,Graphite,Adversary,33113413.406
2022-07-01,Graphite,Intermediary,15713224.0
2022-07-01,Polysilicon,Adversary,174484.80800000002
2022-07-01,Polysilicon,Intermediary,613.0
2022-07-01,Rare Earths,Adversary,8447027.226
2022-07-01,Rare Earths,Intermediary,5352129.025
2022-08-01,Gallium/Germanium,Adversary,16985745.602
2022-08-01,Gallium/Germanium,Intermediary,2119741.9390000002
2022-08-01,Graphite,Adversary,39479512.393
2022-08-01,Graphite,Intermediary,17423747.0
2022-08-01,Polysilicon,Adversary,113105.0
2022-08-01,Polysilicon,Intermediary,33744.638
2022-08-01,Rare Earths,Adversary,7160731.61
2022-08-01,Rare Earths,Intermediary,5232014.0
2022-09-01,Gallium/Germanium,Adversary,16778972.431
